epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2112.98,1.06205,0.66027,1.12303,0.91137,0.78555,0.8389,0.61691,0.86821,0.45428,1.00844,4.8025e-06,4.8025e-06,4.8025e-06
107,2132.72,1.0555,0.65796,1.11225,0.91125,0.78563,0.83887,0.61714,0.86813,0.45471,1.00818,4.753e-06,4.753e-06,4.753e-06
108,2152.64,1.04501,0.65166,1.11003,0.90887,0.7864,0.83926,0.61711,0.86764,0.45437,1.00781,4.7035e-06,4.7035e-06,4.7035e-06
109,2172.7,1.05313,0.65617,1.1177,0.91237,0.78409,0.8387,0.61686,0.86846,0.4542,1.00834,4.654e-06,4.654e-06,4.654e-06
110,2192.41,1.0465,0.65547,1.11177,0.91273,0.78547,0.83973,0.61669,0.86763,0.45434,1.00779,4.6045e-06,4.6045e-06,4.6045e-06
111,2212.32,1.04271,0.65162,1.11247,0.91403,0.7843,0.83948,0.61672,0.86741,0.4538,1.00781,4.555e-06,4.555e-06,4.555e-06
112,2232.27,1.05572,0.65552,1.11572,0.91416,0.78396,0.83916,0.61685,0.86695,0.45338,1.00735,4.5055e-06,4.5055e-06,4.5055e-06
113,2252.03,1.06044,0.65988,1.12299,0.913,0.78408,0.8396,0.61704,0.86641,0.45293,1.007,4.456e-06,4.456e-06,4.456e-06
114,2271.83,1.03984,0.64162,1.10554,0.91268,0.78396,0.83888,0.61691,0.86663,0.45276,1.00725,4.4065e-06,4.4065e-06,4.4065e-06
115,2291.59,1.05125,0.65577,1.11716,0.91272,0.78396,0.83874,0.61701,0.86636,0.45267,1.00713,4.357e-06,4.357e-06,4.357e-06
116,2311.45,1.04914,0.65876,1.11814,0.91261,0.78465,0.83922,0.61749,0.86631,0.45321,1.00691,4.3075e-06,4.3075e-06,4.3075e-06
117,2331.37,1.05502,0.66285,1.11412,0.91158,0.7842,0.83905,0.61708,0.86625,0.45335,1.00686,4.258e-06,4.258e-06,4.258e-06
118,2351.16,1.04772,0.65877,1.11033,0.90832,0.7842,0.83917,0.61764,0.86622,0.45341,1.00666,4.2085e-06,4.2085e-06,4.2085e-06
119,2371.13,1.0501,0.65312,1.11353,0.91016,0.78402,0.83859,0.61778,0.866,0.45317,1.00648,4.159e-06,4.159e-06,4.159e-06
